data,filial_id,filial_nome,produto_canonico,valor_total_brl,preco_medio_litro_brl,volume_estimado_litros
2025-03-03,F001,Posto Bandeirantes,Etanol,1692,4.11,411.67883211678827
2025-03-04,F001,Posto Bandeirantes,Etanol,1615,4.11,392.94403892944035
2025-03-05,F001,Posto Bandeirantes,Etanol,1538,4.11,374.20924574209243
2025-03-06,F001,Posto Bandeirantes,Etanol,1673,4.11,407.0559610705596
2025-03-07,F001,Posto Bandeirantes,Etanol,1596,4.11,388.3211678832117
2025-03-08,F001,Posto Bandeirantes,Etanol,1519,4.11,369.5863746958637
2025-03-10,F001,Posto Bandeirantes,Etanol,1654,4.11,402.43309002433085
2025-03-11,F001,Posto Bandeirantes,Etanol,1577,4.11,383.69829683698293
2025-03-12,F001,Posto Bandeirantes,Etanol,1712,4.11,416.5450121654501
2025-03-13,F001,Posto Bandeirantes,Etanol,1635,4.11,397.81021897810217
2025-03-14,F001,Posto Bandeirantes,Etanol,1558,4.11,379.07542579075425
2025-03-15,F001,Posto Bandeirantes,Etanol,1692,4.11,411.67883211678827
2025-03-17,F001,Posto Bandeirantes,Etanol,1615,4.11,392.94403892944035
2025-03-18,F001,Posto Bandeirantes,Etanol,1538,4.11,374.20924574209243
2025-03-19,F001,Posto Bandeirantes,Etanol,1673,4.11,407.0559610705596
2025-03-20,F001,Posto Bandeirantes,Etanol,1596,4.11,388.3211678832117
2025-03-21,F001,Posto Bandeirantes,Etanol,1519,4.11,369.5863746958637
2025-03-22,F001,Posto Bandeirantes,Etanol,1654,4.11,402.43309002433085
2025-03-24,F001,Posto Bandeirantes,Etanol,1577,4.11,383.69829683698293
2025-03-25,F001,Posto Bandeirantes,Etanol,1712,4.11,416.5450121654501
2025-03-26,F001,Posto Bandeirantes,Etanol,1635,4.11,397.81021897810217
2025-03-27,F001,Posto Bandeirantes,Etanol,1558,4.11,379.07542579075425
2025-03-28,F001,Posto Bandeirantes,Etanol,1692,4.11,411.67883211678827
2025-03-29,F001,Posto Bandeirantes,Etanol,1615,4.11,392.94403892944035
2025-03-31,F001,Posto Bandeirantes,Etanol,1597,4.11,388.56447688564475
2025-03-01,F001,Posto Bandeirantes,Diesel S10,2323,6.54,355.1987767584098
2025-03-03,F001,Posto Bandeirantes,Diesel S10,2231,6.54,341.13149847094803
2025-03-04,F001,Posto Bandeirantes,Diesel S10,2392,6.54,365.7492354740061
2025-03-05,F001,Posto Bandeirantes,Diesel S10,2300,6.54,351.68195718654437
2025-03-06,F001,Posto Bandeirantes,Diesel S10,2462,6.54,376.4525993883792
2025-03-07,F001,Posto Bandeirantes,Diesel S10,2369,6.54,362.23241590214064
2025-03-08,F001,Posto Bandeirantes,Diesel S10,2277,6.54,348.1651376146789
2025-03-10,F001,Posto Bandeirantes,Diesel S10,2438,6.54,372.782874617737
2025-03-11,F001,Posto Bandeirantes,Diesel S10,2346,6.54,358.7155963302752
2025-03-12,F001,Posto Bandeirantes,Diesel S10,2254,6.54,344.64831804281346
2025-03-13,F001,Posto Bandeirantes,Diesel S10,2415,6.54,369.26605504587155
2025-03-14,F001,Posto Bandeirantes,Diesel S10,2323,6.54,355.1987767584098
2025-03-15,F001,Posto Bandeirantes,Diesel S10,2231,6.54,341.13149847094803
2025-03-17,F001,Posto Bandeirantes,Diesel S10,2392,6.54,365.7492354740061
2025-03-18,F001,Posto Bandeirantes,Diesel S10,2300,6.54,351.68195718654437
2025-03-19,F001,Posto Bandeirantes,Diesel S10,2462,6.54,376.4525993883792
2025-03-20,F001,Posto Bandeirantes,Diesel S10,2369,6.54,362.23241590214064
2025-03-21,F001,Posto Bandeirantes,Diesel S10,2277,6.54,348.1651376146789
2025-03-22,F001,Posto Bandeirantes,Diesel S10,2438,6.54,372.782874617737
2025-03-24,F001,Posto Bandeirantes,Diesel S10,2346,6.54,358.7155963302752
2025-03-25,F001,Posto Bandeirantes,Diesel S10,2254,6.54,344.64831804281346
2025-03-26,F001,Posto Bandeirantes,Diesel S10,2415,6.54,369.26605504587155
2025-03-27,F001,Posto Bandeirantes,Diesel S10,2323,6.54,355.1987767584098
2025-03-28,F001,Posto Bandeirantes,Diesel S10,2231,6.54,341.13149847094803
2025-03-29,F001,Posto Bandeirantes,Diesel S10,2392,6.54,365.7492354740061
2025-03-31,F001,Posto Bandeirantes,Diesel S10,2440,6.54,373.08868501529054
2025-03-01,F002,Auto Posto Central,Gasolina Comum,3365,6.29,534.9761526232114
2025-03-03,F002,Auto Posto Central,Gasolina Comum,3608,6.29,573.6089030206678
2025-03-04,F002,Auto Posto Central,Gasolina Comum,3469,6.29,551.510333863275
2025-03-05,F002,Auto Posto Central,Gasolina Comum,3712,6.29,590.1430842607314
2025-03-06,F002,Auto Posto Central,Gasolina Comum,3573,6.29,568.0445151033387
2025-03-07,F002,Auto Posto Central,Gasolina Comum,3435,6.29,546.1049284578696
2025-03-08,F002,Auto Posto Central,Gasolina Comum,3677,6.29,584.5786963434023
2025-03-10,F002,Auto Posto Central,Gasolina Comum,3538,6.29,562.4801271860096
2025-03-11,F002,Auto Posto Central,Gasolina Comum,3400,6.29,540.5405405405405
2025-03-12,F002,Auto Posto Central,Gasolina Comum,3642,6.29,579.0143084260732
2025-03-13,F002,Auto Posto Central,Gasolina Comum,3504,6.29,557.0747217806041
2025-03-14,F002,Auto Posto Central,Gasolina Comum,3365,6.29,534.9761526232114
2025-03-15,F002,Auto Posto Central,Gasolina Comum,3608,6.29,573.6089030206678
2025-03-17,F002,Auto Posto Central,Gasolina Comum,3469,6.29,551.510333863275
2025-03-18,F002,Auto Posto Central,Gasolina Comum,3712,6.29,590.1430842607314
2025-03-19,F002,Auto Posto Central,Gasolina Comum,3573,6.29,568.0445151033387
2025-03-20,F002,Auto Posto Central,Gasolina Comum,3435,6.29,546.1049284578696
2025-03-21,F002,Auto Posto Central,Gasolina Comum,3677,6.29,584.5786963434023
2025-03-22,F002,Auto Posto Central,Gasolina Comum,3538,6.29,562.4801271860096
2025-03-24,F002,Auto Posto Central,Gasolina Comum,3400,6.29,540.5405405405405
2025-03-25,F002,Auto Posto Central,Gasolina Comum,3642,6.29,579.0143084260732
2025-03-26,F002,Auto Posto Central,Gasolina Comum,3504,6.29,557.0747217806041
2025-03-27,F002,Auto Posto Central,Gasolina Comum,3365,6.29,534.9761526232114
2025-03-28,F002,Auto Posto Central,Gasolina Comum,3608,6.29,573.6089030206678
2025-03-29,F002,Auto Posto Central,Gasolina Comum,3469,6.29,551.510333863275
2025-03-31,F002,Auto Posto Central,Gasolina Comum,3712,6.29,590.1430842607314
2025-03-01,F002,Auto Posto Central,Etanol,2150,4.11,523.1143552311435
2025-03-03,F002,Auto Posto Central,Etanol,2338,4.11,568.8564476885645
2025-03-04,F002,Auto Posto Central,Etanol,2231,4.11,542.8223844282238
2025-03-05,F002,Auto Posto Central,Etanol,2123,4.11,516.5450121654501
2025-03-06,F002,Auto Posto Central,Etanol,2312,4.11,562.530413625304
2025-03-07,F002,Auto Posto Central,Etanol,2204,4.11,536.2530413625303
2025-03-08,F002,Auto Posto Central,Etanol,2096,4.11,509.97566909975666
2025-03-10,F002,Auto Posto Central,Etanol,2285,4.11,555.9610705596107
2025-03-11,F002,Auto Posto Central,Etanol,2177,4.11,529.683698296837
2025-03-12,F002,Auto Posto Central,Etanol,2365,4.11,575.4257907542578
2025-03-13,F002,Auto Posto Central,Etanol,2258,4.11,549.3917274939172
2025-03-14,F002,Auto Posto Central,Etanol,2150,4.11,523.1143552311435
2025-03-15,F002,Auto Posto Central,Etanol,2338,4.11,568.8564476885645
2025-03-17,F002,Auto Posto Central,Etanol,2231,4.11,542.8223844282238
2025-03-18,F002,Auto Posto Central,Etanol,2123,4.11,516.5450121654501
2025-03-19,F002,Auto Posto Central,Etanol,2312,4.11,562.530413625304
2025-03-20,F002,Auto Posto Central,Etanol,2204,4.11,536.2530413625303
2025-03-21,F002,Auto Posto Central,Etanol,2096,4.11,509.97566909975666
2025-03-22,F002,Auto Posto Central,Etanol,2285,4.11,555.9610705596107
2025-03-24,F002,Auto Posto Central,Etanol,2177,4.11,529.683698296837
2025-03-25,F002,Auto Posto Central,Etanol,2365,4.11,575.4257907542578
2025-03-26,F002,Auto Posto Central,Etanol,2258,4.11,549.3917274939172
2025-03-27,F002,Auto Posto Central,Etanol,2150,4.11,523.1143552311435
2025-03-28,F002,Auto Posto Central,Etanol,2338,4.11,568.8564476885645
2025-03-29,F002,Auto Posto Central,Etanol,2231,4.11,542.8223844282238
2025-03-31,F002,Auto Posto Central,Etanol,2203,4.11,536.0097323600972
2025-03-01,F002,Auto Posto Central,Diesel S10,2058,6.54,314.6788990825688
2025-03-03,F002,Auto Posto Central,Diesel S10,1981,6.54,302.9051987767584
2025-03-04,F002,Auto Posto Central,Diesel S10,2115,6.54,323.39449541284404
2025-03-05,F002,Auto Posto Central,Diesel S10,2038,6.54,311.62079510703364
2025-03-06,F002,Auto Posto Central,Diesel S10,2173,6.54,332.262996941896
2025-03-07,F002,Auto Posto Central,Diesel S10,2096,6.54,320.4892966360856
2025-03-08,F002,Auto Posto Central,Diesel S10,2019,6.54,308.7155963302752
2025-03-10,F002,Auto Posto Central,Diesel S10,2154,6.54,329.35779816513764
2025-03-11,F002,Auto Posto Central,Diesel S10,2077,6.54,317.5840978593272
2025-03-12,F002,Auto Posto Central,Diesel S10,2000,6.54,305.8103975535168
2025-03-13,F002,Auto Posto Central,Diesel S10,2135,6.54,326.4525993883792
2025-03-14,F002,Auto Posto Central,Diesel S10,2058,6.54,314.6788990825688
2025-03-15,F002,Auto Posto Central,Diesel S10,1981,6.54,302.9051987767584
2025-03-17,F002,Auto Posto Central,Diesel S10,2115,6.54,323.39449541284404
2025-03-18,F002,Auto Posto Central,Diesel S10,2038,6.54,311.62079510703364
2025-03-19,F002,Auto Posto Central,Diesel S10,2173,6.54,332.262996941896
2025-03-20,F002,Auto Posto Central,Diesel S10,2096,6.54,320.4892966360856
2025-03-21,F002,Auto Posto Central,Diesel S10,2019,6.54,308.7155963302752
2025-03-22,F002,Auto Posto Central,Diesel S10,2154,6.54,329.35779816513764
2025-03-24,F002,Auto Posto Central,Diesel S10,2077,6.54,317.5840978593272
2025-03-25,F002,Auto Posto Central,Diesel S10,2000,6.54,305.8103975535168
2025-03-26,F002,Auto Posto Central,Diesel S10,2135,6.54,326.4525993883792
2025-03-27,F002,Auto Posto Central,Diesel S10,2058,6.54,314.6788990825688
2025-03-28,F002,Auto Posto Central,Diesel S10,1981,6.54,302.9051987767584
2025-03-29,F002,Auto Posto Central,Diesel S10,2115,6.54,323.39449541284404
2025-03-31,F002,Auto Posto Central,Diesel S10,2154,6.54,329.35779816513764
2025-03-01,F003,Posto São João,Gasolina Comum,2596,6.29,412.7186009538951
2025-03-03,F003,Posto São João,Gasolina Comum,2785,6.29,442.7662957074722
2025-03-04,F003,Posto São João,Gasolina Comum,2677,6.29,425.59618441971384
2025-03-05,F003,Posto São João,Gasolina Comum,2865,6.29,455.48489666136726
2025-03-06,F003,Posto São João,Gasolina Comum,2758,6.29,438.4737678855326
2025-03-07,F003,Posto São João,Gasolina Comum,2650,6.29,421.30365659777425
2025-03-08,F003,Posto São João,Gasolina Comum,2838,6.29,451.1923688394277
2025-03-10,F003,Posto São João,Gasolina Comum,2731,6.29,434.181240063593
2025-03-11,F003,Posto São João,Gasolina Comum,2623,6.29,417.01112877583466
2025-03-12,F003,Posto São João,Gasolina Comum,2812,6.29,447.05882352941177
2025-03-13,F003,Posto São João,Gasolina Comum,2704,6.29,429.8887122416534
2025-03-14,F003,Posto São João,Gasolina Comum,2596,6.29,412.7186009538951
2025-03-15,F003,Posto São João,Gasolina Comum,2785,6.29,442.7662957074722
2025-03-17,F003,Posto São João,Gasolina Comum,2677,6.29,425.59618441971384
2025-03-18,F003,Posto São João,Gasolina Comum,2865,6.29,455.48489666136726
2025-03-19,F003,Posto São João,Gasolina Comum,2758,6.29,438.4737678855326
2025-03-20,F003,Posto São João,Gasolina Comum,2650,6.29,421.30365659777425
2025-03-21,F003,Posto São João,Gasolina Comum,2838,6.29,451.1923688394277
2025-03-22,F003,Posto São João,Gasolina Comum,2731,6.29,434.181240063593
2025-03-24,F003,Posto São João,Gasolina Comum,2623,6.29,417.01112877583466
2025-03-25,F003,Posto São João,Gasolina Comum,2812,6.29,447.05882352941177
2025-03-26,F003,Posto São João,Gasolina Comum,2704,6.29,429.8887122416534
2025-03-27,F003,Posto São João,Gasolina Comum,2596,6.29,412.7186009538951
2025-03-28,F003,Posto São João,Gasolina Comum,2785,6.29,442.7662957074722
2025-03-29,F003,Posto São João,Gasolina Comum,2677,6.29,425.59618441971384
2025-03-31,F003,Posto São João,Gasolina Comum,2864,6.29,455.3259141494436
2025-03-01,F003,Posto São João,Etanol,1415,4.11,344.28223844282235
2025-03-03,F003,Posto São João,Etanol,1523,4.11,370.55961070559607
2025-03-04,F003,Posto São João,Etanol,1462,4.11,355.7177615571776
2025-03-05,F003,Posto São João,Etanol,1400,4.11,340.632603406326
2025-03-06,F003,Posto São João,Etanol,1508,4.11,366.9099756690997
2025-03-07,F003,Posto São João,Etanol,1446,4.11,351.82481751824815
2025-03-08,F003,Posto São João,Etanol,1385,4.11,336.9829683698297
2025-03-10,F003,Posto São João,Etanol,1492,4.11,363.01703163017027
2025-03-11,F003,Posto São João,Etanol,1431,4.11,348.1751824817518
2025-03-12,F003,Posto São João,Etanol,1538,4.11,374.20924574209243
2025-03-13,F003,Posto São João,Etanol,1477,4.11,359.36739659367396
2025-03-14,F003,Posto São João,Etanol,1415,4.11,344.28223844282235
2025-03-15,F003,Posto São João,Etanol,1523,4.11,370.55961070559607
2025-03-17,F003,Posto São João,Etanol,1462,4.11,355.7177615571776
2025-03-18,F003,Posto São João,Etanol,1400,4.11,340.632603406326
2025-03-19,F003,Posto São João,Etanol,1508,4.11,366.9099756690997
2025-03-20,F003,Posto São João,Etanol,1446,4.11,351.82481751824815
2025-03-21,F003,Posto São João,Etanol,1385,4.11,336.9829683698297
2025-03-22,F003,Posto São João,Etanol,1492,4.11,363.01703163017027
2025-03-24,F003,Posto São João,Etanol,1431,4.11,348.1751824817518
2025-03-25,F003,Posto São João,Etanol,1538,4.11,374.20924574209243
2025-03-26,F003,Posto São João,Etanol,1477,4.11,359.36739659367396
2025-03-27,F003,Posto São João,Etanol,1415,4.11,344.28223844282235
2025-03-28,F003,Posto São João,Etanol,1523,4.11,370.55961070559607
2025-03-29,F003,Posto São João,Etanol,1462,4.11,355.7177615571776
2025-03-31,F003,Posto São João,Etanol,1446,4.11,351.82481751824815
2025-03-01,F003,Posto São João,Diesel S10,2546,6.54,389.2966360856269
2025-03-03,F003,Posto São João,Diesel S10,2423,6.54,370.4892966360856
2025-03-04,F003,Posto São João,Diesel S10,2638,6.54,403.3639143730887
2025-03-05,F003,Posto São João,Diesel S10,2515,6.54,384.5565749235474
2025-03-06,F003,Posto São João,Diesel S10,2731,6.54,417.5840978593272
2025-03-07,F003,Posto São João,Diesel S10,2608,6.54,398.77675840978594
2025-03-08,F003,Posto São João,Diesel S10,2485,6.54,379.96941896024464
2025-03-10,F003,Posto São João,Diesel S10,2700,6.54,412.8440366972477
2025-03-11,F003,Posto São João,Diesel S10,2577,6.54,394.0366972477064
2025-03-12,F003,Posto São João,Diesel S10,2454,6.54,375.22935779816515
2025-03-13,F003,Posto São João,Diesel S10,2669,6.54,408.1039755351682
2025-03-14,F003,Posto São João,Diesel S10,2546,6.54,389.2966360856269
2025-03-15,F003,Posto São João,Diesel S10,2423,6.54,370.4892966360856
2025-03-17,F003,Posto São João,Diesel S10,2638,6.54,403.3639143730887
2025-03-18,F003,Posto São João,Diesel S10,2515,6.54,384.5565749235474
2025-03-19,F003,Posto São João,Diesel S10,2731,6.54,417.5840978593272
2025-03-20,F003,Posto São João,Diesel S10,2608,6.54,398.77675840978594
2025-03-21,F003,Posto São João,Diesel S10,2485,6.54,379.96941896024464
2025-03-22,F003,Posto São João,Diesel S10,2700,6.54,412.8440366972477
2025-03-24,F003,Posto São João,Diesel S10,2577,6.54,394.0366972477064
2025-03-25,F003,Posto São João,Diesel S10,2454,6.54,375.22935779816515
2025-03-26,F003,Posto São João,Diesel S10,2669,6.54,408.1039755351682
2025-03-27,F003,Posto São João,Diesel S10,2546,6.54,389.2966360856269
2025-03-28,F003,Posto São João,Diesel S10,2423,6.54,370.4892966360856
2025-03-29,F003,Posto São João,Diesel S10,2638,6.54,403.3639143730887
2025-03-31,F003,Posto São João,Diesel S10,2701,6.54,412.99694189602445
2025-03-01,F004,Posto Ipiranga Express,Gasolina Comum,2423,6.29,385.214626391097
2025-03-03,F004,Posto Ipiranga Express,Gasolina Comum,2585,6.29,410.9697933227345
2025-03-04,F004,Posto Ipiranga Express,Gasolina Comum,2492,6.29,396.18441971383146
2025-03-05,F004,Posto Ipiranga Express,Gasolina Comum,2654,6.29,421.939586645469
2025-03-06,F004,Posto Ipiranga Express,Gasolina Comum,2562,6.29,407.31319554848966
2025-03-07,F004,Posto Ipiranga Express,Gasolina Comum,2469,6.29,392.52782193958666
2025-03-08,F004,Posto Ipiranga Express,Gasolina Comum,2631,6.29,418.2829888712242
2025-03-10,F004,Posto Ipiranga Express,Gasolina Comum,2538,6.29,403.4976152623211
2025-03-11,F004,Posto Ipiranga Express,Gasolina Comum,2446,6.29,388.8712241653418
2025-03-12,F004,Posto Ipiranga Express,Gasolina Comum,2608,6.29,414.6263910969793
2025-03-13,F004,Posto Ipiranga Express,Gasolina Comum,2515,6.29,399.8410174880763
2025-03-14,F004,Posto Ipiranga Express,Gasolina Comum,2423,6.29,385.214626391097
2025-03-15,F004,Posto Ipiranga Express,Gasolina Comum,2585,6.29,410.9697933227345
2025-03-17,F004,Posto Ipiranga Express,Gasolina Comum,2492,6.29,396.18441971383146
2025-03-18,F004,Posto Ipiranga Express,Gasolina Comum,2654,6.29,421.939586645469
2025-03-19,F004,Posto Ipiranga Express,Gasolina Comum,2562,6.29,407.31319554848966
2025-03-20,F004,Posto Ipiranga Express,Gasolina Comum,2469,6.29,392.52782193958666
2025-03-21,F004,Posto Ipiranga Express,Gasolina Comum,2631,6.29,418.2829888712242
2025-03-22,F004,Posto Ipiranga Express,Gasolina Comum,2538,6.29,403.4976152623211
2025-03-24,F004,Posto Ipiranga Express,Gasolina Comum,2446,6.29,388.8712241653418
2025-03-25,F004,Posto Ipiranga Express,Gasolina Comum,2608,6.29,414.6263910969793
2025-03-26,F004,Posto Ipiranga Express,Gasolina Comum,2515,6.29,399.8410174880763
2025-03-27,F004,Posto Ipiranga Express,Gasolina Comum,2423,6.29,385.214626391097
2025-03-28,F004,Posto Ipiranga Express,Gasolina Comum,2585,6.29,410.9697933227345
2025-03-29,F004,Posto Ipiranga Express,Gasolina Comum,2492,6.29,396.18441971383146
2025-03-31,F004,Posto Ipiranga Express,Gasolina Comum,2654,6.29,421.939586645469
2025-03-01,F004,Posto Ipiranga Express,Etanol,1673,4.11,407.0559610705596
2025-03-03,F004,Posto Ipiranga Express,Etanol,1808,4.11,439.90267639902675
2025-03-04,F004,Posto Ipiranga Express,Etanol,1731,4.11,421.1678832116788
2025-03-05,F004,Posto Ipiranga Express,Etanol,1654,4.11,402.43309002433085
2025-03-06,F004,Posto Ipiranga Express,Etanol,1788,4.11,435.0364963503649
2025-03-07,F004,Posto Ipiranga Express,Etanol,1712,4.11,416.5450121654501
2025-03-08,F004,Posto Ipiranga Express,Etanol,1635,4.11,397.81021897810217
2025-03-10,F004,Posto Ipiranga Express,Etanol,1769,4.11,430.41362530413625
2025-03-11,F004,Posto Ipiranga Express,Etanol,1692,4.11,411.67883211678827
2025-03-12,F004,Posto Ipiranga Express,Etanol,1827,4.11,444.5255474452554
2025-03-13,F004,Posto Ipiranga Express,Etanol,1750,4.11,425.7907542579075
2025-03-14,F004,Posto Ipiranga Express,Etanol,1673,4.11,407.0559610705596
2025-03-15,F004,Posto Ipiranga Express,Etanol,1808,4.11,439.90267639902675
2025-03-17,F004,Posto Ipiranga Express,Etanol,1731,4.11,421.1678832116788
2025-03-18,F004,Posto Ipiranga Express,Etanol,1654,4.11,402.43309002433085
2025-03-19,F004,Posto Ipiranga Express,Etanol,1788,4.11,435.0364963503649
2025-03-20,F004,Posto Ipiranga Express,Etanol,1712,4.11,416.5450121654501
2025-03-21,F004,Posto Ipiranga Express,Etanol,1635,4.11,397.81021897810217
2025-03-22,F004,Posto Ipiranga Express,Etanol,1769,4.11,430.41362530413625
2025-03-24,F004,Posto Ipiranga Express,Etanol,1692,4.11,411.67883211678827
2025-03-25,F004,Posto Ipiranga Express,Etanol,1827,4.11,444.5255474452554
2025-03-26,F004,Posto Ipiranga Express,Etanol,1750,4.11,425.7907542579075
2025-03-27,F004,Posto Ipiranga Express,Etanol,1673,4.11,407.0559610705596
2025-03-28,F004,Posto Ipiranga Express,Etanol,1808,4.11,439.90267639902675
2025-03-29,F004,Posto Ipiranga Express,Etanol,1731,4.11,421.1678832116788
2025-03-31,F004,Posto Ipiranga Express,Etanol,1710,4.11,416.05839416058393
2025-03-01,F004,Posto Ipiranga Express,Diesel S10,1831,6.54,279.96941896024464
2025-03-03,F004,Posto Ipiranga Express,Diesel S10,1769,6.54,270.4892966360856
2025-03-04,F004,Posto Ipiranga Express,Diesel S10,1877,6.54,287.00305810397555
2025-03-05,F004,Posto Ipiranga Express,Diesel S10,1815,6.54,277.5229357798165
2025-03-06,F004,Posto Ipiranga Express,Diesel S10,1923,6.54,294.0366972477064
2025-03-07,F004,Posto Ipiranga Express,Diesel S10,1862,6.54,284.7094801223242
2025-03-08,F004,Posto Ipiranga Express,Diesel S10,1800,6.54,275.22935779816515
2025-03-10,F004,Posto Ipiranga Express,Diesel S10,1908,6.54,291.74311926605503
2025-03-11,F004,Posto Ipiranga Express,Diesel S10,1846,6.54,282.262996941896
2025-03-12,F004,Posto Ipiranga Express,Diesel S10,1785,6.54,272.9357798165138
2025-03-13,F004,Posto Ipiranga Express,Diesel S10,1892,6.54,289.2966360856269
2025-03-14,F004,Posto Ipiranga Express,Diesel S10,1831,6.54,279.96941896024464
2025-03-15,F004,Posto Ipiranga Express,Diesel S10,1769,6.54,270.4892966360856
2025-03-17,F004,Posto Ipiranga Express,Diesel S10,1877,6.54,287.00305810397555
2025-03-18,F004,Posto Ipiranga Express,Diesel S10,1815,6.54,277.5229357798165
2025-03-19,F004,Posto Ipiranga Express,Diesel S10,1923,6.54,294.0366972477064
2025-03-20,F004,Posto Ipiranga Express,Diesel S10,1862,6.54,284.7094801223242
2025-03-21,F004,Posto Ipiranga Express,Diesel S10,1800,6.54,275.22935779816515
2025-03-22,F004,Posto Ipiranga Express,Diesel S10,1908,6.54,291.74311926605503
2025-03-24,F004,Posto Ipiranga Express,Diesel S10,1846,6.54,282.262996941896
2025-03-25,F004,Posto Ipiranga Express,Diesel S10,1785,6.54,272.9357798165138
2025-03-26,F004,Posto Ipiranga Express,Diesel S10,1892,6.54,289.2966360856269
2025-03-27,F004,Posto Ipiranga Express,Diesel S10,1831,6.54,279.96941896024464
2025-03-28,F004,Posto Ipiranga Express,Diesel S10,1769,6.54,270.4892966360856
2025-03-29,F004,Posto Ipiranga Express,Diesel S10,1877,6.54,287.00305810397555
2025-03-31,F004,Posto Ipiranga Express,Diesel S10,1907,6.54,291.5902140672783
2025-03-01,F005,Posto Litoral Norte,Gasolina Comum,4000,6.29,635.9300476947536
2025-03-03,F005,Posto Litoral Norte,Gasolina Comum,4323,6.29,687.281399046105
2025-03-04,F005,Posto Litoral Norte,Gasolina Comum,4138,6.29,657.8696343402225
2025-03-05,F005,Posto Litoral Norte,Gasolina Comum,4462,6.29,709.3799682034976
2025-03-06,F005,Posto Litoral Norte,Gasolina Comum,4277,6.29,679.9682034976153
2025-03-07,F005,Posto Litoral Norte,Gasolina Comum,4092,6.29,650.556438791733
2025-03-08,F005,Posto Litoral Norte,Gasolina Comum,4415,6.29,701.9077901430843
2025-03-10,F005,Posto Litoral Norte,Gasolina Comum,4231,6.29,672.6550079491255
2025-03-11,F005,Posto Litoral Norte,Gasolina Comum,4046,6.29,643.2432432432432
2025-03-12,F005,Posto Litoral Norte,Gasolina Comum,4369,6.29,694.5945945945946
2025-03-13,F005,Posto Litoral Norte,Gasolina Comum,4185,6.29,665.341812400636
2025-03-14,F005,Posto Litoral Norte,Gasolina Comum,4000,6.29,635.9300476947536
2025-03-15,F005,Posto Litoral Norte,Gasolina Comum,4323,6.29,687.281399046105
2025-03-17,F005,Posto Litoral Norte,Gasolina Comum,4138,6.29,657.8696343402225
2025-03-18,F005,Posto Litoral Norte,Gasolina Comum,4462,6.29,709.3799682034976
2025-03-19,F005,Posto Litoral Norte,Gasolina Comum,4277,6.29,679.9682034976153
2025-03-20,F005,Posto Litoral Norte,Gasolina Comum,4092,6.29,650.556438791733
2025-03-21,F005,Posto Litoral Norte,Gasolina Comum,4415,6.29,701.9077901430843
2025-03-22,F005,Posto Litoral Norte,Gasolina Comum,4231,6.29,672.6550079491255
2025-03-24,F005,Posto Litoral Norte,Gasolina Comum,4046,6.29,643.2432432432432
2025-03-25,F005,Posto Litoral Norte,Gasolina Comum,4369,6.29,694.5945945945946
